FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
3969:ch3,Timeseries,64Hz,,,,,,
65142:ch3,Timeseries,64Hz,,,,,,

DATA_START
Time,3969:ch3,65142:ch3
09/04/19 21:11:04.437500000,-0.9994934,-1.002439
09/04/19 21:11:04.453125000,-0.9989899,-1.0017
09/04/19 21:11:04.468750000,-0.9989899,-0.9997284
09/04/19 21:11:04.484375000,-1.0005,-0.9999748
09/04/19 21:11:04.500000000,-0.9977312,-1.00096
09/04/19 21:11:04.515625000,-0.9926962,-1.000714
09/04/19 21:11:04.531250000,-0.9994934,-1.000468
09/04/19 21:11:04.546875000,-1.005284,-0.9987426
09/04/19 21:11:04.562500000,-1.005535,-1.001207
09/04/19 21:11:04.578125000,-0.9994934,-1.003178
09/04/19 21:11:04.593750000,-0.9931997,-1.003425
09/04/19 21:11:04.609375000,-0.9959689,-1.0017
09/04/19 21:11:04.625000000,-1.003521,-1.000714
09/04/19 21:11:04.640625000,-1.003521,-0.9997284
09/04/19 21:11:04.656250000,-0.9989899,-0.998989
09/04/19 21:11:04.671875000,-0.9954655,-0.998989
09/04/19 21:11:04.687500000,-0.9962207,-1.000714
09/04/19 21:11:04.703125000,-0.9994934,-1.002439
09/04/19 21:11:04.718750000,-1.002011,-1.002192
09/04/19 21:11:04.734375000,-1.001507,-1.001453
09/04/19 21:11:04.750000000,-1.000249,-1.00096
09/04/19 21:11:04.765625000,-0.9994934,-1.000468
09/04/19 21:11:04.781250000,-0.9979829,-1.001946
09/04/19 21:11:04.796875000,-0.9979829,-1.001946
09/04/19 21:11:04.812500000,-0.9989899,-0.9999748
09/04/19 21:11:04.828125000,-0.9989899,-0.9984962
09/04/19 21:11:04.843750000,-0.9942067,-0.9992355
09/04/19 21:11:04.859375000,-0.9972277,-1.000714
09/04/19 21:11:04.875000000,-1.004277,-1.001453
09/04/19 21:11:04.890625000,-1.005787,-1.003178
09/04/19 21:11:04.906250000,-1.000249,-1.002685
09/04/19 21:11:04.921875000,-0.9974794,-1.002439
09/04/19 21:11:04.937500000,-0.9954655,-1.001453
09/04/19 21:11:04.953125000,-1.001256,-0.9999748
09/04/19 21:11:04.968750000,-1.001507,-0.9987426
09/04/19 21:11:04.984375000,-0.9984864,-0.999482
